web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334259-1416","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","84 . La Crema Cafe","78 164 99 10","ul. Bohaterów Monte Cassino 14","null",""
"1616334218-1319","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","37. Coco cafe club & restaurant","58 661 62 00","Washington 21","null","$$Nowoczesna europejska, Kawiarnie, Kawa i herbata"
"1616334266-1442","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","100 . Bar Cafe Marta - Krzysztof Marchwiński","58 675 33 37","ul. Fr. Sychty","null","Bars"
"1616334196-1280","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","8. Retro","66 521 79 65","ul. Piwna 5/6","null","$Kawiarnie, Ciastka"
"1616334274-1454","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","102. Cafe Club w Młynie Eliza Orzęcka Małgorzata Bielecka","","Maria Konopnicka 38","null","Bars"
"1616334218-1318","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","36. Hard Rock Cafe","58 535 77 04","ul. Długi Targ 35/38","null","$$Amerykańska"
"1616334196-1282","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","10. Balsam Cafe","69 708 23 57","ul. Piwna 66","null","$$Kawiarnie, Kawa i herbata"
"1616334250-1400","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","78 . Cafe Art Deco","58 555 01 60","Monte Cassino 9a","null","Arts and entertainment"
"1616334274-1456","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","104 . Cafe Bar U Miecia Pranga Eugenia","","Retrieved 18","null","Bars"
"1616334203-1289","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","17. Town Cafe","79 621 22 72","null","null","Lody i mrożony jogurt, Ciastka, Kawiarnie"
"1616334274-1453","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","101 . PUH Cafe Kot","","Ogrodowa 10 /  13","null",""
"1616334274-1457","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","105 . Bryza Resort & Spa","58 675 51 00","Intermarium 2","null","Hotels"
"1616334241-1377","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","65 . Mariola Cafe","58 622 28 98","ul. Bolesław Prus 24","null","$$ Ice Cream and Frozen Yogurt"
"1616334241-1382","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","70 . Rosenthal Cafe","58 741 61 30","al. Grunwaldzka 82","null",""
"1616334218-1320","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","38. Plumkawka Art Cafe & Wine Bar","58 728 50 74","ul. Short 6","null","Wine bary, Kawiarnie"
"1616334226-1339","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","47. Cafe Dziupla","50 941 71 85","ul. Bohaterów Monte Cassino 53","null","Kawa i herbata, Kawiarnie"
"1616334266-1435","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","93. Kojot cafe","","ul. Morska 32","null","Coffee and tea , Ice cream and frozen yoghurt"
"1616334211-1299","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","27. Café del Arte","60 270 79 61","ul. Bohaterów Monte Cassino 53","null","$Kawiarnie, Galerie sztuki, Kawa i herbata"
"1616334211-1296","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","24 . Cico Club Cafe Małgorzata Ogrodowska","58 305 04 55","Piwna 28 /  30","null","Bars , Restaurants"
"1616334266-1433","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","91 . Stardust Cafe","58 660 50 77","Wielkopolska 44","null",""
