web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616332825-1090","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=160","166 . Jazz Faust Cafe","12 422 97 97","ul. Szewska 21","Old Town","$ Clubs , Jazz and Blues"
"1616332752-972","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=40","48. Cafe Pianola","12 422 32 52","ul. Senacka 7","Old Town","$$Kawiarnie, Kawa i herbata"
"1616332739-952","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=20","28. Urban Garden","66 847 17 18","ul. Main Market Square 11","Main market","Nowoczesna europejska, Polska, Kawiarnie"
"1616332770-1001","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=70","77. Cafe Lucynka","79 191 93 37","ul. Karmelicka 1","Downtown","$Kawa i herbata, Piekarnie, Kawiarnie"
"1616332813-1066","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=140","142 . Cafe Botanica","53 071 74 38","ul. Bracka 9","Old Town","$$ Vegetarian , Cafes , Coffee & Tea"
"1616332763-987","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=60","63 . Bistro Cafe Pastele","Downtown","Trail 67","Downtown","$$ Cafes , Coffee & Tea"
"1616332789-1032","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=100","108. Kavke Cafe","66 555 50 63","ul. Rakowicka 27","Grzegórzki","Kawiarnie, Lody i mrożony jogurt"
"1616332837-1113","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=180","189 . Ewelina Płaszaj PP Design Cafe","Old Podgórze","Krakus 13","Old Podgórze","Bars"
"1616332837-1112","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=180","188 . Cafe Climate Paweł Dąbek Anna Goman Izabela Solakiewicz Adam","Old Podgórze","Bolesław Limanowskiego 1","Old Podgórze","Bars"
"1616332770-999","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=70","75 . Cafe Szafe","66 390 56 52","ul. Felician Sisters 10","Downtown","$$ Pubs , Coffee & Tea , Music Venues"
