web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334665-1768","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=70","76 . Cybernet Cafe Jacek Mikołajczak","","St. Marcin 23/4","null",""
"1616334652-1736","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=50","56 . Fendo Cafe Jóźwiak Hanna Jóźwiak Wojciech","","December 27 7","null","Bars"
"1616334659-1753","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=60","61 . Cafe Tosca","61 287 04 61","ul. Ignacego Paderewskiego 2 /  1","null","Cafes"
"1616334637-1700","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=30","40 . Esquel Cafe Szymon Mikołajczak","","Common 12/1","null","Coffee and tea , Cafes"
"1616334671-1776","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=80","84 . Coco Cafe","50 350 34 74","ul. Kramarska 3","null",""
"1616334621-1654","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=10","14 . Babki Cafe","69 740 55 58","Kramarska 21/2","null","Cafes , Coffee and tea"
"1616334621-1656","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=10","16 . Lavenda Gastro & Cafe","61 852 49 95","ul. Water 3/4","null","$$Kawiarnie, Polska, Śniadanie i brunch"
"1616334677-1783","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=90","91 . Cafe Internet Ha Hanna Tatarkiewicz Marcinkowska Alicja","","Zwycięstwa 22","null",""
"1616334644-1722","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=40","42 . Emma Cafe","61 852 58 98","ul. Kościuszki 71/73","null","Coffee and tea , Cafes"
"1616334652-1738","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=50","58 . Vogue Cafe Restaurant Piechocka Elżbieta Piechocki Wiktor","","May 3 46","null","Bars"
