web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334275-1462","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=80","82 . Cafe Charlie","51 537 34 63","ul. Grójecka 36","Old Ochota","$$ Cafes"
"1616334328-1543","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=160","163 . The Pictures","22 826 17 83","ul. Chmielna 26","Downtown","$$ Bars , Cafes , Coffee & Tea"
"1616334300-1502","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","122. Tu i tera cafe","51 617 18 00","ul. Mokotowska","Downtown","Cafes , Coffee and tea"
"1616334212-1311","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","","9. Molo Kids Cafe","22 254 95 53","Klimczaka 17 street","Wilanów","Kawiarnie, Kawa i herbata"
"1616334328-1548","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=160","168. Costa Coffee","22 332 79 00","ul. Klimczaka 17","Wilanów","$$Kawa i herbata"
"1616334374-1619","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=230","239. Brit Cafe","22 436 56 08","al. National Commission 35","Ursynów","Kawiarnie, Kawa i herbata"
"1616334321-1534","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=150","154 . How u Doin Cafe","50 854 67 92","ul. Piękna 28/34","Downtown","Cafes , Coffee and tea"
"1616334374-1612","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=230","232 . Green Caffè Nero","22 241 57 02","ul. Puławska 23/25","Old Mokotów","$ Cafes , Coffee and Tea"
"1616334300-1507","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","127 . Cafe Yurt","66 046 32 09","ul. Defenders of Tobruk","Bemowo","Cafes , Coffee and tea"
"1616334267-1445","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=70","73. Qlka Café","22 212 87 14","ul. Przasnyska 11","Żoliborz","$Kawa i herbata, Kawiarnie, Zajęcia dla dzieci"
"1616334328-1544","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=160","164 . Sin Fronteras Cafe","22 828 20 01","ul. Mazowiecka 12","Downtown","Cafes , Coffee and tea"
"1616334280-1478","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=90","98 . Cafe Furkot","22 831 16 58","Al. Jana Pawła II 52/54","Muranów","Cafes , Coffee and tea"
"1616334267-1447","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=70","75. Titicaca Cafe & Ice Cream","50 435 04 82","Wild 2","Muranów","$Kawiarnie, Lody i mrożony jogurt, Kawa i herbata"
"1616334300-1504","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","124 . Etno Cafe","79 277 44 53","null","Downtown","Coffee and tea"
"1616334341-1562","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","182 . Cafe Wielicka","66 499 39 30","ul. Wielicka 43","Mokotów","$$ Cafes , Coffee & Tea"
"1616334251-1412","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","60. Czytelnia","66 084 41 58","al. Reunification 46","Bielany","$Śniadanie i brunch, Kawiarnie, Kawa i herbata"
"1616334328-1545","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=160","165 . Miedziana Café","Mirów","ul. Copper 1","Mirów","Kawa i herbata, Ciastka, Kanapki"
