web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843774-296","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","6 . Cafe Lamus","50 013 28 97","ul. Lavendowa 8","null","$$ Coffee & Tea , Cafes"
"1616843807-354","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","64 . Trombone Cafe","58 550 44 23","ul. Morska 16","null","$$ Cafes , Coffee & Tea"
"1616843828-391","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","101 . PUH Cafe Kot","","Ogrodowa 10 /  13","null",""
"1616843819-380","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","90 . Cafe Bit One","","Wielkopolska 26","null",""
"1616843774-293","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","3 . Bakalia cafe","88 038 12 12","ul. Wide","null","$$ Cafes , Coffee & Tea"
"1616843785-314","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","24 . Cico Club Cafe Małgorzata Ogrodowska","58 305 04 55","Piwna 28 /  30","null","Bars , Restaurants"
"1616843774-297","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","7. Kreatywna Cafe","57 073 6000","ul. Słowackiego 19","null","$Kawa i herbata"
"1616843823-389","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","99. Mariusz Kwiczala Cafe Bulvar","","Adm. Steyer 12a / 4","null","Owoce i warzywa"
"1616843807-357","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","67 . Cafe Bar Latarnik","","Promienista 2","null","Bars"
"1616843823-381","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","91 . Stardust Cafe","58 660 50 77","Greater Poland 44","null",""
"1616843828-398","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","108. Dorota Konefał Gothic Cafe","","Gościszewo 113","null","Hotele"
"1616843823-388","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","98. Kawiarnia Music Cafe Mariusz Zieliński","","Wojska Polskiego 20","null","Bary"
"1616843823-383","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","93 . Coyote cafe","","ul. Morska 32","null","Coffee and tea , Ice cream and frozen yoghurt"
