web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845137-1121","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","10. Fusy i Miętusy","50 344 96 60","ul. Grobla IV / 2","null","Kawiarnie, Puby"
"1616845137-1112","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","1 . Emerald Café","50 401 86 89","ul. Władysława IV 61","null","Cafes , Breakfast and Brunch , Cookies"
"1616845137-1117","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","6 . Creative Cafe","57 073 6000","ul. Słowackiego 19","null","$Kawa i herbata"
"1616845137-1113","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","2 . C Corner Cafe","69 786 20 07","ul. Świętojańska 78A","null","$$Kawa i herbata, Kawiarnie"
"1616845137-1118","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","7. Przyjaciółki Cafe","50 961 32 69","ul. Jana Jerzego Haffnera 7 / 9","null","$Kawiarnie, Kawa i herbata"
"1616845137-1114","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","3. Drukarnia Cafe","51 007 35 34","ul. Mariacka 36","null","$ Cafes"
"1616845137-1115","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","4 . Cafe Kultura","60 807 14 47","ul. Królowej Jadwigi 7","null","$ Cafes , Coffee and Tea"
"1616845137-1120","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","9. Retro","66 521 79 65","ul. Piwna 5 / 6","null","$Kawiarnie, Ciastka"
"1616845137-1119","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","8. Bakalia cafe","88 038 12 12","ul. Szeroka","null","$$Kawiarnie, Kawa i herbata"
"1616845137-1116","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gdynia%2C%20Pomorskie","","","5 . Lavenda Cafe Gallery","58 621 19 30","ul. Starowiejska 11","null","Coffee and tea , Cafes"
