web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843681-275","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=130","136 . Cafe Bar Banaszek Ewa Klepek Dariusz","","Free 130","null","Bars"
"1616843663-247","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","108 . Sonia Cafe Sonia Markowicz","","Wolności 278","null","Bars"
"1616843669-250","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","111 . Civil Law Company Cafe Dominikana Sylwia Czarczyk Tatiana","","Pope John Paul II 26","null","Bars"
"1616843645-218","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=70","79 . Cafe Bar Pod Piątką Krzysztof Drozdowski","","Dr. Ignacego Nowaka 5","null","Bars"
"1616843640-203","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=60","64 . Dama Cafe Magdalena Kłyk Dariusz Kubacki","","Karola Marcinkowskiego 2b / 2","null","Bars"
"1616843651-223","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","84 . Przedsiębiorstwo Produkcyjno Handlowo Usługowe Rembud Cafe","32 222 25 12","Karol Miarka 36","null","Groceries"
"1616843629-182","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=40","43 . Cafe Bistro Kołaczek","51 229 27 79","ul. Main Market Square 17","null","Bars , Bistro , Poland"
"1616843657-236","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=90","97 . Cafe Klub na Rozbark Zdzisław Hurnowicz","","Chorzowska 12","null","Bars"
"1616843651-227","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","88 . Cafe Drink Bar and the House of Occasional Parties Knopek","","Florian 2","null","Bars"
"1616843686-284","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=140","145 . Cafe Internet Interca Gadaliński Kazimierz","","Victory 79","null",""
"1616843640-208","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=60","69 . Little Hanoi and more","88 662 33 88","ul. Staromiejska 4","null","$$ Vietnamese , Asian Fusion , Vegan"
"1616843623-172","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","33 . Cafe Chopin","32 335 74 05","ul. Lipowa 1","null","Cafes , Coffee and tea"
"1616843651-220","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","81 . Jarosław Fedliński Boston Cafe","","Peace 14","null","Bars"
"1616843669-256","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","117 . Civil partnership Mk Cafe Mościńska Krystyna Katarzyna i Małgorzata","","Zabrzańska 141","null","Groceries"
"1616843634-198","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","59 . Drink Cafe Bar Marco Krzysztof Przywara","","Stefan Batory 30","null","Bars"
"1616843645-214","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=70","75 . Cafe Oranżeria","","Trzebińska 40","null","Shopping , Bars , Sandwiches , Ice Cream & Frozen Yogurt , American"
"1616843606-144","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","","5 . Cafe Pogoń","51 199 92 09","ul. Władysław Reymont 12","null","Cafes , Confectionery"
"1616843640-209","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=60","70 . Cafe Bar Lika Pietrzyk Teresa Głodek Krystian","","27 January 6","null","Bars"
"1616843669-253","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","114 . Cafe Drink Bar Zacisze Rudnicki Dariusz","","Jan Kużaj 57","null","Bars"
"1616843634-195","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","56 . Bellmer Cafe Kinga Bell","","Warszawska 2","null","$ Bars"
"1616843663-242","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","103 . Internet Cafe Będlin Krystyna","","Wincentego Pola 2a","null",""
