web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844039-510","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=100","102 . Not Cafe Time Master","12 265 68 68","ul. Batory 1","Kleparz","Coworking , Cafes , Social associations"
"1616843992-438","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=20","30. Pijalnia Czekolady E.Wedel","12 429 40 85","ul. Rynek Główny 46","Rynek Główny","$$Sklepy z czekoladą, Kawiarnie, Kawa i herbata"
"1616844016-476","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=60","68. Columbus Coffee","88 306 05 69","ul. Starowiślna 27","Downtown","$Kawiarnie, Śniadanie i brunch, Kawa i herbata"
"1616844068-559","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=150","151 . Slow Fashion Cafe","Kazimierz","ul. Bożego Ciała 10","Kazimierz","Cafes , Coffee and tea"
"1616844079-587","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=170","179 . Cafe Bar K2 Ennio Russo","12 426 23 34","Krakowska 5 / 3u","Kazimierz","Bars"
"1616844085-594","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=180","186 . Arteteka","12 375 21 43","ul. Rajska 12","Śródmieście","Libraries"
"1616844033-499","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=90","91 . Caffe Eclipse","12 431 08 64","ul. Szczepańska 3","Downtown","$$ Bars , Coffee & Tea , Cafes"
"1616844056-544","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=130","136. Cafe Rękawka","12 296 20 02","ul. Kazimierza Brodzińskiego 4B","Old Podgórze","Kawiarnie, Kawa i herbata"
"1616844068-568","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=150","160. Opera Cafe Pub","12 422 02 01","ul. Św. Jana 10","Śródmieście","Kawiarnie"
"1616844073-575","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=0","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Krak%C3%B3w%2C%20Ma%C5%82opolskie&start=160","167. Firma Cafe Molier Artur Dziurman Eugeniusz Dykiel","12 292 64 00","Szewska 4","Old Town","Bary"
