web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845207-1297","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","90. Cafe Pralinka","61 667 15 10","ul. Pówiejska 42","null",""
"1616845183-1240","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","49 . Emma Cafe","61 852 58 98","ul. Kościuszki 71/73","null","Coffee and tea , Cafes"
"1616845183-1238","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","47 . Hort Cafe BS Barańscy","","Głogowska 29","null","Bakeries , Bars"
"1616845183-1235","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","44 . Pracownia Cafe","50 813 16 64","ul. Woźna 17","null","Vegan , Vegetarian"
"1616845158-1156","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","5 . Cafe Ryczka","78 680 64 06","ul. Polna 27","null","Kawiarnie, Ciastka, Śniadanie i brunch"
"1616845194-1274","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","67 . Vogue Cafe Restaurant Piechocka Elżbieta Piechocki Wiktor","","May 3 46","null","Bars"
"1616845165-1177","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","16. Babki Cafe","69 740 55 58","Kramarska 21/2","null","Kawiarnie, Kawa i herbata"
"1616845171-1195","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","24 . Cafe Ptasiek","61 639 32 70","ul. Jewish 10","null","$$ Cafes , Coffee & Tea"
"1616845158-1159","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","8. Minister Cafe","79 252 88 09","ul. Ratajczaka 34","null","$Kawiarnie, Puby, Śniadanie i brunch"
"1616845189-1259","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","52 . Cafe Bordo Restaurant","61 851 00 81","ul. Żydowska 28","null","$$ Cafes"
"1616845189-1260","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","53 . Cafe Blue Marcin Popiak","","11 Listopada 151","null","Bars"
"1616845194-1277","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","70 . Cafe Okay Kramer Filip","","Garbary 29","null","Bars"
"1616845171-1192","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","21 . Bike Café","50 238 91 40","St. Marcin","null","Cafes , Coffee and tea"
"1616845194-1272","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","65 . Scandal Cafe","","27 December 8/10","null","Bars"
