web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845283-1310","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","4 . ParZona Cafe","81 381 56 79","ul. Krakowskie Przedmieście 51","null","Coffee and tea , Breakfast and Brunch , Cafes"
"1616845301-1344","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","38 . Margo. Cafe-bar","","Zamojska 53","null",""
"1616845289-1325","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","19 . The Light Cafe","81 470 57 57","Al. Spółdzielczości Pracy 34","null","Mediterranean"
"1616845294-1328","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","22 . Cafe Duet","","Gabriela Narutowicza 25/5","null","Bars"
"1616845294-1332","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","26 . Hot Spot Cafe","81 472 62 73","ul. Jan Sawa 10","null","Bars"
"1616845306-1354","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","48. Kawiarnia Rufus Cafe Grzegorz Szkoła","81 501 40 31","May 1 5","null","Bary"
"1616845283-1309","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","3 . Between words","50 821 70 14","ul. Rybna 4 /  5","null","$$ Bookstores , Cafes , Coffee & Tea"
"1616845301-1345","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","39 . Cafe Lulu","51 207 68 02","ul. Jasna 7","null","Sports bars"
"1616845301-1342","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","36 . Cafe Vabanque Małgorzata Okoniewska","81 743 72 25","Fryderyka Chopina 33","null","Bars"
"1616845283-1307","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","1 . Okopova Cafe","50 062 01 06","ul. Okopowa 6 / 3 / 4","null","Cafes , Breakfast and Brunch , Cookies"
"1616845283-1308","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","2 . Cafe Velo","81 528 43 44","ul. Chopina 9 / 7","null","$ Breakfast and brunch , Desserts , Cafes"
"1616845301-1337","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","31 . Cafe Bar Andrzej Jan Myka","81 443 03 45","Leonarda 12","null","Bars"
"1616845289-1323","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","17 . Cafe Oriental","78 538 63 55","ul. Orla 6","null","Middle Eastern"
"1616845283-1311","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","5 . Vanilla Cafe","81 532 39 15","ul. Krakowskie Przedmieście 12","null","$$Kawiarnie, Kawa i herbata"
"1616845283-1312","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","6. Akwarela Cafe","81 534 64 09","ul. Rynek 6","null","Kawiarnie, Kawa i herbata"
"1616845306-1356","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","50. Nostromo Internet Cafe Tomasz Mistak","","Charlęż-Kolonia 14d","null",""
"1616845289-1320","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","14 . Cafe Nescafe","81 532 14 65","ul. Krakowskie Przedmieście 20","null","Cafes , Coffee and tea"
