web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844161-678","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=20","30. Siesta Cafe","61 852 42 66","ul. Półwiejska 41","null","$Kawa i herbata, Kawiarnie, Kanapki"
"1616844172-696","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=40","48 . Cafe Tęcza Przedsiębiorstwo Usługowo Handlowo Produkcyjne","61 861 09 72","Piotra Ściegiennego 50","null","Bakeries"
"1616844184-709","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=60","61 . Cafe Tosca","61 287 04 61","ul. Ignacego Paderewskiego 2 /  1","null","Cafes"
"1616844161-674","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=20","26 . Cafe Bebe","50 469 99 81","Strzelecka 20/2","null","Cafes , Coffee and tea"
"1616844190-725","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=70","77 . Bunuba Cafe Nowak and Pazderski","","Szewska 20a","null","Beer, wine and alcohol"
"1616844184-710","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=60","62 . Cafe Bingo Szubarga Urszula","","Wrocławska 25a","null","Bars"
"1616844149-656","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","","8. Dżungla Cafe","","ul. Głogowska 32","null","Kawiarnie tematyczne"
"1616844161-677","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=20","29. Przychodnia Cafe","50 996 99 81","ul. Żydowska 28","null","Kawiarnie, Kawa i herbata"
"1616844184-714","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=60","66 . Cafe Prima","","Adama Mickiewicza 19","null","Bars"
"1616844161-675","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=20","27. Karafka Bistro & Cafe","53 399 73 03","ul. Steadfast 2","null","$Kawiarnie, Bistro, Burgery"
"1616844178-705","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=50","57 . Scandal Cafe","","27 December 8/10","null","Bars"
"1616844184-712","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=60","64 . Julia Chara La Robe Cafe","","Rynek Stary Rynek 25","null","Bars"
"1616844190-723","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Pozna%C5%84%2C%20Wielkopolskie&start=70","75 . Cafe 4 6 New Year's Eve Knez","","Valley 6b / 19","null",""
