web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844233-772","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=20","27 . Flemming Cafe","69 422 04 85","Abbot Jacek Rybiński 8","null",""
"1616844237-778","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=30","33 . Prestige Lingua","53 579 77 17","ul. Grażyny 10/2","null","Language schools"
"1616844233-768","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=20","23 . Magdalena Głuszko Cafe Y Son Artistic Agency","","Oskar Kolberg 6c / 18","null","Theaters"
"1616844227-765","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=10","20 . Sopnet Cafe Rigall Krzysztof","","Gen. Kazimierza Pułaskiego 7a","null",""
"1616844227-758","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=10","13 . Cafe Zaścianek","58 550 05 43","ul. Haffnera 3/1a","null","$ Cafes"
"1616844227-764","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=10","19 . La Crema Cafe","78 164 99 10","ul. Bohaterów Monte Cassino 14","null",""
"1616844227-756","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=10","11 . Trombone Cafe","58 550 44 23","ul. Morska 16","null","$$ Cafes , Coffee & Tea"
"1616844227-761","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=10","16 . Cafe Festival","","Bohaterów Monte Cassino 6","null","Bars"
"1616844233-766","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=20","21 . Multimedia Cafe Jarosław Kowalewski","58 551 55 62","Jana Jerzy Haffner 48/6","null",""
"1616844233-770","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Sopot%2C%20Pomorskie&start=20","25 . Cafe Bar Entertainment Ksantypa Mgr Henryk Andrukiewicz","","Piastowska 210","null","Bars"
