web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844392-932","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=150","154 . Good & Good","79 257 59 80","ul. Puławska 11","Stary Mokotów","Coffee and tea"
"1616844334-844","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=60","66. WakeCup Cafe","50 713 56 18","ul. Franciszkańska 14","New town","$Kawiarnie, Kawa i herbata"
"1616844384-925","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=140","147 . Green Caffè Nero","22 298 51 53","ul. Rzymowskiego 53","Slużewiec","$$Kawiarnie, Kawa i herbata"
"1616844311-806","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=20","28. To Lubię","22 635 90 23","ul. Freta 10","Nowe Miasto","$Kawa i herbata, Kawiarnie, Śniadanie i brunch"
"1616844372-900","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","122 . Kos Cafe","51 342 29 08","ul. Chmielna 9A","Śródmieście","Cafes , Coffee and tea"
"1616844372-905","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","127. Cafe Art of Home","60 080 03 35","ul. Kolejowa 47 / U5","Wola","Kawa i herbata, Kawiarnie"
"1616844311-808","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=20","30. U Krawca Cafe","88 808 89 08","ul. Siennicka 3","Grochów","$Kawiarnie, Kawa i herbata"
"1616844305-796","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=10","18. Cafe Fundacja","51 117 65 63","ul. Andersa 13","Muranów","Kawa i herbata, Kawiarnie"
"1616844300-787","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","","9. Molo Kids Cafe","22 254 95 53","Klimczaka 17 street","Wilanów","Kawiarnie, Kawa i herbata"
"1616844429-992","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=210","214 . Cafe Latte","Mirów","ul. John Paul II 36","Mirów","Cafes , Coffee and tea"
"1616844334-846","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=60","68. Cafe Alibi","Downtown","ul. Nowogrodzka 8","Downtown","Kawiarnie, Kawa i herbata"
"1616844359-886","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=100","108. Kartka Cafe","60 391 05 11","ul. 161 Nowoursynowska","Ursynów","Kawiarnie, Kawa i herbata"
"1616844329-835","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","57. CieKawa Cafe","22 468 17 77","ul. Powstańców Śląskich 80D","Bemowo","$$Przystawki/przekąski, Kawiarnie, Kawa i herbata"
"1616844317-815","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=30","37. Paręosób","69 684 79 91","ul. Tarczyńska 12","Old Ochota","$Kawiarnie, Galerie sztuki"
"1616844411-962","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","184 . Coco Mokka Cafe","22 406 15 00","al. KEN 22","Ursynów","$$ Coffee & Tea , Bistros , Cafes"
"1616844429-994","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=210","216 . Radio Roxy from the City","Downtown","Chmielna 9a","Downtown","$$Kluby, Kawiarnie, Kawa i herbata"
"1616844378-909","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=130","131 . Cafe TVN","22 439 74 44","ul. Marszalkowska 76","Śródmieście","$$ Cafes , Coffee & Tea"
"1616844359-887","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=100","109. Cofeina Cafe","53 553 35 89","ul. Polna 54","Downtown","$$Kawa i herbata, Kawiarnie, Kanapki"
"1616844329-838","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","60. Steff Cafe Bar","51 902 30 23","ul. Jazdów 1","Ujazdów","$Kawiarnie, Kawa i herbata"
"1616844305-792","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=10","14 . Moodie Cafe & Juice","Center","ul. Chmielna 32","Center","$ Cafes , Juice Bars and Smoothies , Coffee and Tea"
"1616844334-845","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=60","67. Cafe Bonifacy","50 114 81 28","ul. St. Boniface 68","Sadyba","$Kawiarnie, Kawa i herbata"
"1616844323-821","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=40","43 . Cafe Melon","50 107 52 14","ul. Inżynierska 1","Prague North","$ Cafes , Bookstores , Coffee and Tea"
"1616844417-974","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=190","196. Cafe Tortownia","22 244 29 30","ul. Handlowa 60","Targówek","$Kawiarnie, Kawa i herbata"
"1616844411-963","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","185 . Cafe Wielicka","66 499 39 30","ul. Wielicka 43","Mokotów","$$ Cafes , Coffee & Tea"
"1616844372-899","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=120","121 . Cafe Yurt","66 046 32 09","ul. Kępa Potocka","Żoliborz","$ Coffee & Tea , Ice Cream & Frozen Yogurt , Cafes"
"1616844311-804","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=20","26. Cafe Próżna","22 620 32 57","ul. Próżna 12","Śródmieście","$Kawiarnie, Kawa i herbata"
"1616844329-836","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","58. Cafe Malfato","50 145 59 77","ul. Popular 8/10","Old Italy","$Kawiarnie, Lody i mrożony jogurt, Kawa i herbata"
"1616844384-919","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=140","141 . Klitka Atelier","22 618 83 43","ul. Ząbkowska 12","Old Prague","Cafes , Photographers , Coffee and Tea"
"1616844300-784","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","","6. ToZo Cafe","50 401 23 40","ul. Gorczewska 80","Will","$Kawa i herbata, Kawiarnie"
"1616844405-951","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=170","173 . Confectionery - Cafe Ricardo","22 121 50 44","Pasaż Ursynowski 7","Ursynów","Cookies , Cafes , Coffee and Tea"
"1616844411-968","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","190. Cafe Misianka","66 811 00 43","Al. Zieleniecka 2","Praga Południe","$$Ciastka, Kawiarnie, Kawa i herbata"
"1616844435-1001","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=220","223 . Bali Cafe - Dim Sum House","51 905 15 41","ul. Złota 59","Centrum","$$$ Indonesian"
"1616844411-964","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","186. Miau Cafe","79 320 42 96","ul. Adama Naruszewicza 30 / U2","Mokotów","$Kawiarnie tematyczne"
"1616844311-799","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=20","21 . Tailor's wife","60 048 52 34","ul. Kamionkowska 29","Grochów","$ Cafes , Cookies , Coffee and Tea"
"1616844365-891","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=110","113 . Cafe Furkot","22 121 31 45","ul. Chłodna 2 / 18","Mirów","Polish , Coffee and Tea , Cafes"
"1616844411-959","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","181. Cafe Milano","22 622 52 50","ul. Koszykowa 34/50","Śródmieście","Cafes , Italian , Coffee and Tea"
"1616844411-966","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","188. Jajko Cafe & Bistro","50 108 42 30","Al.Niepodległości 162","Stary Mokotów","$$Kawiarnie, Kawa i herbata"
"1616844323-819","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=40","41 . Labor","22 416 91 50","ul. Tamka 49","Downtown","$ Coffee and Tea , Breakfast and Brunch , Cafes"
"1616844411-965","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=180","187. Cafe Lorentz","88 203 77 79","Al.Jerozolimskie 3","Powiśle","$Kawiarnie, Kawa i herbata"
"1616844317-811","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=30","33 . The letterCafe","60 612 07 27","ul. Literacka 19","Bemowo Airport","Coffee and tea , Cafes , Cookies"
"1616844384-926","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=140","148. Cafe Beza","","ul. Źródlana 6A","null","Kawiarnie, Kawa i herbata"
"1616844311-800","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=20","22 . Aurora Kahvi","73 125 14 68","ul. Chmielna 13","Śródmieście","Cafes"
"1616844352-870","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=90","92 . Green Caffè Nero","22 400 57 87","ul. Chmielna 32","Centrum","$ Cafes , Coffee and Tea"
"1616844435-999","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=220","221 . Po Prostu Cafe & Restaurant","73 000 18 29","ul. Chmielna 126","Mirów","$$ Polish , Modern European"
"1616844317-810","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=30","32 . Cafe plant","69 186 24 42","ul. Schroeger 80","Bielany","$ Coffee and Tea , Cafes"
"1616844346-866","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=80","88. My Baby cafe","22 614 06 96","Porajów 12","Tarchomin","Kawiarnie, Kawa i herbata"
"1616844352-875","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=90","97 . Mjud","79 455 77 25","ul.Warecka 8/30A","Śródmieście","$Kawiarnie, Śniadanie i brunch"
"1616844346-863","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=80","85 . Green Caffè Nero","22 118 25 20","ul. Boya Żeleński 2","Downtown","$$ Cafes"
"1616844378-914","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=130","136 . Bergamo Cafe","Wilanów","al. Rzeczpospolita 12","Wilanów","Bars , Italian , Cafes"
"1616844329-830","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","52 . Starlight Cafe","22 643 60 43","al. National Education Commission 60","Ursynów","$$$ Bars , Cafes , Coffee & Tea"
"1616844417-973","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=190","195 . Cava","22 826 64 27","ul. Nowy Świat 30","Śródmieście","$$Kawiarnie, Kawa i herbata, Lounge"
"1616844346-868","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=80","90. Cafe Solec","22 626 97 10","ul. Solec 71","Solec","$Bary mleczne, Polska, Kawiarnie"
"1616844340-855","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=70","77. OSiR Cycle Culture Cafe","69 295 51 44","ul. Tamka 40","Downtown","$$Puby, Kawiarnie, Kawa i herbata"
"1616844329-837","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=50","59. Bajka","22 826 41 22","ul. New World 44","Downtown","$$Kawiarnie, Kawa i herbata"
"1616844323-827","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=40","49. Cafe Me+Me","50 775 67 99","ul. Oleandrów 6","Downtown","Kawa i herbata, Kawiarnie"
"1616844323-823","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=40","45 . Cafe filters","50 781 52 04","ul. Niemcewicza 3","Old Ochota","$ Cafes"
"1616844417-970","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=190","192 . Cafe Lokalna","22 646 69 85","ul. Kwiatowa 1/3/5","Stary Mokotów","$$ Cafes , Coffee & Tea"
"1616844378-915","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=130","137 . Costa Coffee","Bielany","ul. Kasprowicz 119","Bielany","Cafes"
"1616844352-874","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=90","96 . Empik Cafe","22 853 13 07","ul. Wołoska 12","Mokotów","Cafes , Coffee and tea"
"1616844317-814","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=30","36. Dynamo Cafe","22 828 31 13","ul. Smolna 16","Downtown","$Kawiarnie, Wynajem rowerów, Kawa i herbata"
"1616844359-880","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=100","102 . Crepe Cafe","22 121 22 75","ul. Good 19","Powisle","$ Creperies"
"1616844359-884","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=100","106 . In Biegu Cafe","Muranów","Al. John Paul II 82","Muranów","Cafes , Coffee and tea"
"1616844317-817","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=30","39. Cafe Kulturalna","72 896 26 92","null","Center","$$Kawiarnie, Bary, Bistro"
"1616844435-1004","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=220","226. Cukiernia Sowa","51 605 47 24","ul. Chmielna 11","Śródmieście","$$Ciastka, Kawiarnie, Piekarnie"
"1616844340-858","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=70","80. DaftCafé","66 869 21 63","ul. Pokorna 2","Muranów","$Kanapki, Kawiarnie, Burgery"
"1616844423-986","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=200","208. Cafe Plakatówka","51 726 99 66","ul. Hlonda 2","Wilanów","Kawiarnie, Ciastka"
"1616844405-957","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=170","179. Cafe Bez Pośpiechu","60 127 17 09","ul. Pańska 96 / 202","Mirów","$Kawiarnie, Kanapki, Kawa i herbata"
"1616844334-841","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Warszawa%2C%20Mazowieckie&start=60","63 . Me Gusta Cafe","22 252 93 01","al. National Education Commission 24","Ursynów","$$ Coffee & Tea , Sandwiches , Cafes"
