web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844498-1083","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","65 . Literatka Cafe","71 341 80 13","Rynek 56/57","null","$$ Bars"
"1616844474-1045","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","27. Rondo Cafe","79 385 26 93","ul. Ołtaszyńska 92A / 7","null","Ciastka, Lody i mrożony jogurt, Kawiarnie"
"1616844469-1030","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","12 . PoliOli Cafe","69 555 01 28","Al Armii Krajowej 8","null","Cafes"
"1616844481-1049","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","31 . Etno Cafe Pasaż Grunwaldzki","51 199 20 01","null","null","Kawa i herbata"
"1616844469-1038","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","20. Intermax Internet Cafe","71 794 05 73","ul. Psie Budy 10/11","null","Kafejki internetowe, Usługi IT i naprawa komputerów"
"1616844463-1020","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","2. Pianka Cafe","","ul. Fabryczna 12","null","Coffee and tea , Cafes"
"1616844498-1086","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","68 . Milana Cafe Pizza","71 310 27 36","ul. Dworcowa 26","null","Bars"
"1616844493-1070","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","52 . In Biegu Café By Jacobs Krönung","71 367 90 15","ul. Powstańców Śląskich 2-4","null","Arts and entertainment"
"1616844498-1085","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","67 . Bernard Piwiarnia-Restaurant","71 344 10 54","ul. Market Square 35","null","$$$$ Modern European , Czech , Brew Pub"
"1616844469-1029","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","11 . Bike Cafe","71 346 15 34","ul. św. Antoniego 8","null","Cafes , Coffee and tea"
"1616844474-1039","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","21 . Ciacho Cafe Cukiernia Królewska Wrocław","51 403 23 60","Kazimierza Wielkiego 25","null","Bakeries , Cafes , Coffee and Tea"
"1616844487-1067","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","49 . Cafe Escape Soul Anna","","Władysława Reymonta 3 /  3","null",""
"1616844498-1079","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","61 . Cafe","71 372 22 85","ul. Pretty 9","null",""
"1616844493-1073","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","55 . At Kalambur. Art-cafe","71 372 35 71","ul. Kuźnicza 29a","null",""
"1616844463-1023","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","5 . Cafe Targowa","53 659 12 86","ul. Piaskowa 17","null","$Kawa i herbata, Piekarnie, Kawiarnie"
"1616844487-1066","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","48 . Amorinio Ice Cream & Grand Cafe","71 346 29 44","ul. Wita Stwosza 1-2","null","$$$ Ice Cream and Frozen Yogurt"
"1616844493-1078","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","60 . Grand Cafe","66 471 67 66","pl. Grunwaldzki 27","null","Bars , Clubs"
"1616844474-1044","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","26 . Cafe - Bar - Milano","71 349 69 64","ul. Wladyslawa Zarembowicza  16a","null","Bary, Kawiarnie, Kawa i herbata"
"1616844493-1074","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","56 . The Buddha Cafe","60 459 64 29","ul. Szewska 27","null",""
"1616844498-1087","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","69 . Wrocław airport","71 358 11 00","ul. Grain 190","null","Airports"
"1616844481-1056","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","38 . Tomasz Straszyński Cafe Mona Liza","71 343 14 13","Market Square 16/17","null","Bars , Restaurants"
"1616844487-1068","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","50 . Blue Bar Cafe","71 343 41 26","Pl. Solny 8/9","null","Arts and entertainment"
