web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844546-1101","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","11 . Cafe Antrakt Bartłomiej Stępiski Górecki Sławomir","18 200 02 20","Nowotarska 10b / 8","null","Bars"
"1616844546-1109","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","19 . Górecki Sławomir Partner Cafe Antrakt Grzegorz Stępiski","","Krupówki 6","null","Groceries"
"1616844546-1104","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","14 . Hradecki Bartosz Inter Cafe","","Krupówki 79a","null",""
"1616844540-1093","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","3 . Cafe Tygodnik Podhalański","18 200 02 29","ul. Kościuszko 3","null","Coffee and tea , Cafes"
"1616844550-1111","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=20","21 . Malewska Elżbieta Cafe Bar Irys","","Kosciuszko 160","null","Bars"
"1616844546-1110","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","20 . Grand Hotel Stamary","18 202 45 10","ul. Tadeusza Kościuszki 19","null","Hotels and travel"
"1616844540-1092","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","2 . Cafe Piano","60 456 69 80","ul. Krupówki 63","null","Coffee and tea , Cafes"
"1616844540-1095","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","5 . Cafe Roma","60 043 75 27","ul. Strążyska 39","null","$ Cafes , Bars"
"1616844546-1103","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","13 . Bartosch Dennis Cafe Bar","","Skibówki 31a","null","Bars"
"1616844540-1091","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","1 . Strh Cafe & Gallery","18 200 18 98","ul. Krupówki 4A","null","$$ Cafes , Coffee & Tea , Polish"
"1616844540-1094","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","4 . Samanta Cafe","18 201 19 88","ul. Słoneczna 1A","null","Cafes , Coffee and tea"
"1616844546-1105","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","15 . Cafe Internet Company","","Krupówki 44","null",""
"1616844546-1106","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","16 . Paparazzi Cafe Bar","","Generała Galicy 8","null","Specialists , Pubs"
"1616844546-1102","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","12 . Kułach Maciej Cafe Bar","","Wierchowa 2","null","Bars"
"1616844540-1099","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","9. Czerski Maciej Wynajem Pokoi Gościnnych Cafe Bar","","Juliusz Zborowski 5","null","Bary"
"1616844540-1097","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","","7. Zośka Cafe Lunch Bar","69 142 94 90","Krupówki 77 street","null","Bary, Polska"
"1616844546-1108","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Zakopane%2C%20Ma%C5%82opolskie&start=10","18 . Marysieka-cafe, bar and Grill","","To Samków 13b","null","Hotels"
