,Number-1,Number-2,Number-3,Number-4,Number-5,Number-6,Number-7,Sum
0,6,12,15,16,19,27,29,124
447,8,9,10,20,24,29,35,135
662,1,7,11,20,26,31,34,130
699,9,14,17,18,22,27,28,135
754,3,4,16,20,26,29,33,131
906,1,5,7,20,21,25,32,111
914,1,9,15,24,25,28,32,134
1102,4,9,15,18,19,31,35,131
1177,1,5,7,20,25,28,30,116
1240,4,8,14,24,27,29,35,141
1249,3,4,8,14,27,28,35,119
1521,4,9,15,18,26,30,31,133
1559,7,8,17,20,23,24,27,126
1974,1,4,14,20,21,27,31,118
2510,3,6,9,13,17,24,30,102
2575,7,14,15,17,21,24,31,129
2642,9,10,14,20,21,25,27,126
3023,2,9,10,19,23,25,29,117
3047,4,10,16,19,27,30,31,137
3383,1,7,15,20,25,30,34,132
3408,9,12,17,18,24,28,29,137
3475,5,7,10,18,19,25,29,113
3760,2,7,8,12,22,23,29,103
3837,4,8,9,11,25,27,31,115
3850,1,7,8,18,22,28,29,113
4117,8,9,11,20,24,26,31,129
4901,3,4,8,16,21,27,31,110
5267,3,6,11,18,21,24,25,108
5492,3,4,15,19,24,25,30,120
6037,6,9,17,18,21,24,27,122
6116,1,9,16,20,26,29,30,131
6143,7,14,17,18,24,26,29,135
6491,3,14,18,20,23,26,27,131
6643,3,7,9,13,19,24,32,107
6815,4,7,10,17,22,31,35,126
6980,1,3,7,18,29,32,34,124
7104,7,9,18,20,21,24,32,131
7246,3,6,17,18,21,27,33,125
7438,8,9,15,20,23,27,28,130
7487,2,5,11,20,21,23,25,107
7664,1,3,9,12,25,29,32,111
7746,8,9,16,20,21,27,32,133
7751,9,14,15,19,24,25,27,133
8017,7,8,11,20,23,26,29,124
8308,7,10,15,16,19,24,25,116
8800,2,7,8,12,17,24,33,103
9017,8,14,16,18,23,29,31,139
9233,4,9,15,20,24,26,29,127
9300,1,8,16,20,23,24,29,121
9348,1,6,7,20,23,27,32,116
9358,1,8,16,20,26,27,35,133
9405,1,9,16,20,26,27,35,134
9607,7,8,9,14,22,26,31,117
9737,2,4,9,13,19,24,35,106
9820,4,7,10,12,19,23,27,102
9835,5,7,17,18,23,27,28,125
9847,4,5,9,19,25,27,32,121
9948,7,8,9,14,22,29,33,122
10009,5,7,11,14,22,28,34,121
10686,8,9,15,16,24,29,33,134
10735,5,6,16,17,22,23,27,116
10798,7,12,14,19,27,29,33,141
10922,7,10,18,19,23,24,27,128
10953,7,12,14,20,23,25,29,130
10991,7,9,11,20,26,28,31,132
11017,8,9,11,13,17,27,28,113
11260,1,5,16,17,22,30,32,123
11271,7,14,17,18,22,24,35,137
11525,1,5,7,20,22,29,33,117
12344,1,3,9,18,22,28,35,116
12368,5,6,11,20,26,27,30,125
